Year Month,State,Industry,Regulator,Product,Count
2012,Massachusetts,Depository Institution,FDIC,Debit Card,1
2012,Massachusetts,Depository Institution,FDIC,[Total],1
2012,Massachusetts,Depository Institution,[Total],[Total],1
2012,Massachusetts,[Total],[Total],[Total],1
2012,Ohio,Depository Institution,FDIC,Residential Mortgage,1
2012,Ohio,Depository Institution,FDIC,[Total],1
2012,Ohio,Depository Institution,[Total],[Total],1
2012,Ohio,[Total],[Total],[Total],1
2012,[Total],[Total],[Total],[Total],2
2012,Alabama,Depository Institution,FDIC,Residential Mortgage,1
2012,Alabama,Depository Institution,FDIC,[Total],1
2012,Alabama,Depository Institution,[Total],[Total],1
2012,Alabama,[Total],[Total],[Total],1
2012,California,Securities/Futures,SEC,Stocks,2
2012,California,Securities/Futures,SEC,[Total],2
2012,California,Securities/Futures,[Total],[Total],2
2012,California,[Total],[Total],[Total],2
2012,Georgia,Securities/Futures,SEC,Mutual Fund,1
2012,Georgia,Securities/Futures,SEC,[Total],1
2012,Georgia,Securities/Futures,[Total],[Total],1
2012,Georgia,[Total],[Total],[Total],1
2012,Illinois,Depository Institution,OCC,Debit Card,1
2012,Illinois,Depository Institution,OCC,[Total],1
2012,Illinois,Depository Institution,[Total],[Total],1
2012,Illinois,[Total],[Total],[Total],1
2012,Kansas,Depository Institution,FDIC,Credit Card,1
2012,Kansas,Depository Institution,FDIC,Debit Card,2
2012,Kansas,Depository Institution,FDIC,Residential Mortgage,1
2012,Kansas,Depository Institution,FDIC,[Total],4
2012,Kansas,Depository Institution,[Total],[Total],4
2012,Kansas,[Total],[Total],[Total],4
2012,Louisiana,Depository Institution,FDIC,Bonds/Notes,1
2012,Louisiana,Depository Institution,FDIC,Commercial Mortgage,1
2012,Louisiana,Depository Institution,FDIC,Credit Card,1
2012,Louisiana,Depository Institution,FDIC,Debit Card,1
2012,Louisiana,Depository Institution,FDIC,[Total],4
2012,Louisiana,Depository Institution,[Total],[Total],4
2012,Louisiana,[Total],[Total],[Total],4
2012,Maryland,Depository Institution,FDIC,Credit Card,1
2012,Maryland,Depository Institution,FDIC,[Total],1
2012,Maryland,Depository Institution,[Total],[Total],1
2012,Maryland,[Total],[Total],[Total],1
2012,Massachusetts,Depository Institution,FDIC,Residential Mortgage,1
2012,Massachusetts,Depository Institution,FDIC,[Total],1
2012,Massachusetts,Depository Institution,[Total],[Total],1
2012,Massachusetts,Securities/Futures,SEC,Mutual Fund,2
2012,Massachusetts,Securities/Futures,SEC,[Total],2
2012,Massachusetts,Securities/Futures,[Total],[Total],2
2012,Massachusetts,[Total],[Total],[Total],3
2012,Nebraska,Depository Institution,FDIC,Credit Card,2
2012,Nebraska,Depository Institution,FDIC,[Total],2
2012,Nebraska,Depository Institution,[Total],[Total],2
2012,Nebraska,[Total],[Total],[Total],2
2012,New Jersey,Depository Institution,FDIC,Residential Mortgage,1
2012,New Jersey,Depository Institution,FDIC,[Total],1
2012,New Jersey,Depository Institution,OCC,Residential Mortgage,2
2012,New Jersey,Depository Institution,OCC,[Total],2
2012,New Jersey,Depository Institution,[Total],[Total],3
2012,New Jersey,[Total],[Total],[Total],3
2012,New York,Securities/Futures,SEC,Stocks,1
2012,New York,Securities/Futures,SEC,[Total],1
2012,New York,Securities/Futures,[Total],[Total],1
2012,New York,[Total],[Total],[Total],1
2012,Ohio,Depository Institution,OCC,Commercial Mortgage,1
2012,Ohio,Depository Institution,OCC,[Total],1
2012,Ohio,Depository Institution,[Total],[Total],1
2012,Ohio,[Total],[Total],[Total],1
2012,Pennsylvania,Depository Institution,OCC,Credit Card,1
2012,Pennsylvania,Depository Institution,OCC,Residential Mortgage,1
2012,Pennsylvania,Depository Institution,OCC,[Total],2
2012,Pennsylvania,Depository Institution,[Total],[Total],2
2012,Pennsylvania,[Total],[Total],[Total],2
2012,Texas,Securities/Futures,SEC,Bonds/Notes,1
2012,Texas,Securities/Futures,SEC,[Total],1
2012,Texas,Securities/Futures,[Total],[Total],1
2012,Texas,[Total],[Total],[Total],1
2012,Virginia,Securities/Futures,SEC,Mutual Fund,1
2012,Virginia,Securities/Futures,SEC,[Total],1
2012,Virginia,Securities/Futures,[Total],[Total],1
2012,Virginia,[Total],[Total],[Total],1
2012,[Total],[Total],[Total],[Total],28
2012,Alabama,Securities/Futures,SEC,Stocks,3
2012,Alabama,Securities/Futures,SEC,[Total],3
2012,Alabama,Securities/Futures,[Total],[Total],3
2012,Alabama,[Total],[Total],[Total],3
2012,California,Depository Institution,FDIC,Commercial Mortgage,1
2012,California,Depository Institution,FDIC,[Total],1
2012,California,Depository Institution,OCC,Residential Mortgage,1
2012,California,Depository Institution,OCC,[Total],1
2012,California,Depository Institution,[Total],[Total],2
